"route_boulder","name","location_name","sector_name","area_name","country_code","date","type","sub_type","rating","project","tries","repeats","difficulty","perceived_hardness","comment","height","recommended","sits"
"BOULDER","Powerslave","Apremont Ouest","Apremont Ouest",,"FR","2023-04-04T12:00:00Z","rp",,"5","0","0","null","7A",,"","null","0","null"
"ROUTE","Pany","Peñón de Ifach - Penyal d'Ifac","Cara Norte",,"ES","2026-02-05T12:00:00Z","os",,"4","0","1","null","5c",,"multi-pitch","null","0","null"
"ROUTE","Kashba","Sella","Techo del Rino",,"ES","2026-02-10T12:00:00Z","rp",,"5","0","2","null","6c+",,"","null","0","null"
"ROUTE","Osterei","Thalhofergrat","Obere Ostwand",,"AT","2026-03-01T12:00:00Z","rp",,"3","0","0","null","6c+",,"","null","0","null"
"ROUTE","Gruselkabinett","Thalhofergrat","Obere Ostwand",,"AT","2026-03-07T12:00:00Z","rp",,"0","0","0","null","6a+",,"","null","0","null"
"ROUTE","Osterbraten","Thalhofergrat","Obere Ostwand",,"AT","2026-03-10T12:00:00Z","os",,"0","0","1","null","6a+",,"","null","0","null"
"ROUTE","Palmwedel","Thalhofergrat","Obere Ostwand",,"AT","2026-03-11T12:00:00Z","rp",,"0","0","2","null","6b+",,"","null","0","null"
"ROUTE","Eisenwand","Lindenstein","Lindenstein",,"DE","2026-03-21T12:00:00Z","rp",,"null","0","2","null","6+",,,"15","0","null"
"ROUTE","Frankenländer Weg","Lindenstein","Lindenstein",,"DE","2026-03-21T12:00:00Z","os","","0","0","1","null","6",,,"15","0","null"
"ROUTE","Lachmöwe","Schiffsbug","Schiffsbug",,"DE","2026-03-22T12:00:00Z","f","","null","0","1","null","6-",,,"21","0","null"
"ROUTE","Tiefenrausch","Schiffsbug","Schiffsbug",,"DE","2026-03-22T12:00:00Z","rp",,"0","0","2","null","7-",,"Tolle Route aber SEHR brüchig! ","21","0","null"
"ROUTE","Mistral","Föhrenstein & Föhrensteinturm","Föhrenstein",,"DE","2026-03-24T12:00:00Z","rp",,"null","0","1","null","7-",,,"15","0","null"
"ROUTE","Steinschlag","Föhrenstein & Föhrensteinturm","Föhrenstein",,"DE","2026-03-24T12:00:00Z","rp",,"null","0","1","null","7+",,,"15","0","null"
"ROUTE","Mikro","Föhrenstein & Föhrensteinturm","Föhrenstein",,"DE","2026-03-24T12:00:00Z","rp",,"null","0","0","null","7-",,,"15","0","null"
